Garrett Lab ID,M/Z,Retention,Name,Formula,Molecular Weight,Adduct,Notes,,KEGG,
428p,75.0917,0.62,"1,3-DIAMINOPROPANE",C3H10N2,74.1249,,,,C00986,
750p,76.0393,0.736,GLYCINE,C2H5NO2,75.0666,,,,C00037,
2723790p,77.0168,0.908,THIOUREA,CH4N2S,76.12086,,,,C14415,
1049p,80.04971,0.973,Pyridine,C5H5N,79.0422,,Shaddox Samples - Compound Discoverer,,C00747,
1045p,89.1073,0.58,PUTRESCINE,C4H12N2,88.15148,,RT corrected from 0.63min by std 03.01.2018 CC,,C00134,
ISO-01p,90.05495,0.751,ALANINE/SARCOSINE,C3H7NO2,89.09318,,,,NA,
,90.05495,9,N-BOC-L-Alanine,C8H15NO4,,,Injection Standard,,NA,
612p,91.03953,0.84,L-(+)-Lactic Acid,C3H6O3,90.07794,,,,NA,
IntStd9p,93.06556,0.72,L-Alanine 13C3,*CH3*CH(NH2)*COOH,,,Cambridge Isotope Project,,NA,
8871p,96.0444,3.31,2-HYDROXYPYRIDINE,C5H5NO,95.0993,,,,C02502,
1061p,98.98421,0.799,Orthophosphate,H3O4P,97.97689,,Shaddox Samples - Compound Discoverer,,NA,
535p,102.055,0.81,1-AMINOCYCLOPROPANE-1-CARBOXYLATE,C4H7NO2,101.10388,,,,C01234,
75606p,104.0342,1.06,N-FORMYLGLYCINE,C3H5NO3,103.0767,,,,NA,
119p,104.0706,0.833,4-AMINOBUTANOATE (GABA),C4H9NO2,103.11976,,,,C00334,
6119p,104.0706,0.87,2-AMINO-2-METHYLPROPANOATE,C4H9NO2,103.11976,,,,C03665,
64956p,104.0706,0.944,3-AMINOISOBUTANOATE,C4H9NO2,103.11976,,,,C05145,
305p,104.1069,0.86,Choline,C5H13NO,103.0997,,Duffy archeology samples - Compound Discoverer,,C00114,
1128p,105.037,2.224,Tetrahydrothiophene-1-oxide,C4H8OS,104.02959,,Shaddox Samples - Compound Discoverer,,NA,
5951p,106.04987,0.722,L-SERINE,C3H7NO3,105.09258,,,,C00065,
8113p,106.08626,0.748,DIETHANOLAMINE,C4H11NO2,105.135564,,,,C06772,
8452p,107.0467,7.9,CYCLOPENTANONE,C5H8O,84.11642,M+Na,,,C00557,
7504p,108.0808,5.21,BENZYLAMINE,C7H9N,107.15306,,,,C15562,
107812p,110.02703,0.747,HYPOTAURINE,C2H7NO2S,109.14748,,,,C00519,
5801p,110.06,1.88,2-AMINOPHENOL,C6H7NO,109.12588,,,,C01987,
1088p,112.0369,0.75,SARCOSINE,C3H7NO2,89.09318,M+Na,,,C00213,
12473p,112.0393,6.92,PYRROLE-2-CARBOXYLATE,C5H5NO2,111.0987,,,,C05942,
66950p,112.05053,1.597,Isocytosine,C4H5N3O,111.0432,,Shaddox Samples - Compound Discoverer,,NA,
597p,112.05054,0.894,CYTOSINE,C4H5N3O,111.102,,,,C00380,
774p,112.086,0.62,HISTAMINE,C5H9N3,111.14506,,Updated 10/18/17,,C00388,
1174p,113.03455,1.492,URACIL,C4H4N2O2,112.08676,,,,C00106,
588p,114.06619,0.944,CREATININE,C4H7N3O,113.11788,,,,C00791,
753p,115.0365,0.79,GLYCEROL,C3H8O3,92.09382,M+Na,,,C00116,
649p,115.0502,1.431,"5,6-DIHYDROURACIL",C4H6N2O2,114.10264,,,,C00429,
145742p,116.0706,0.911,L-PROLINE,C5H9NO2,115.13046,,,,C00148,
444266p,117.0182,2.32,MALEIC ACID,C4H4O4,116.07216,,,,C01384,
134505p,118.0321,1,L-HOMOCYSTEINE THIOLACTONE,C4H7NOS,117.16948,,,,,
763p,118.0611,0.81,GUANIDINOACETATE,C3H7N3O2,117.10658,,,,C00581,
ISO-02p/6287p,118.0863,1.18,L-VALINE/5-AMINOPENTANOATE/L-NORVALINE,C5H11NO2,117.14634,,,,NA,
247p,118.0863,0.86,BETAINE,C5H11NO2,117.14634,,,,C00719,
227p,120.0449,8.62,Anthranilate,C7H7NO2,137.13598,[M+H-H2O],,,C00108,
ISO-03p,120.06552,0.759,THREONINE/HOMOSERINE,C4H9NO3,119.11916,,,,NA,
SF1,120.08078,6.2,Phenylalanine-HCOOH,C8H10N,,,Source fragment,,NA,
1044p,121.05087,3.009,PURINE,C5H4N4,120.11206,,,,C15587,
5862p,122.02703,0.71,L-CYSTEINE,C3H7NO2S,121.15818,,,,C00097,
1001p,122.0964,6.71,PHENETHYLAMINE,C8H11N,121.17964,,,,C05332,
126p,123.0441,7.94,4-HYDROXYBENZALDEHYDE,C7H6O2,122.12134,,,,C00633,
936p,123.05529,1.795,NICOTINAMIDE,C6H6N2O,122.12464,,,,C00153,
938p,124.0393,1.511,NICOTINATE,C6H5NO2,123.1094,,,,C00253,
1018p,124.0393,1.41,PICOLINIC ACID,C6H5NO2,123.1094,,,,C10164,
1123p,126.02194,0.747,TAURINE,C2H7NO3S,125.14688,,,,C00245,
339p,126.0315,0.71,(2-AMINOETHYL)PHOSPHONATE,C2H8NO3P,125.063582,,,,C03557,
65040p,126.0662,1.21,5-METHYLCYTOSINE HYDROCLORIDE,C5H7N3O,125.12858,,,,NA,
69520p,126.1026,0.68,3-METHYLHISTAMINE,C6H11N3,125.17164,,,,,
237332p,127.03875,0.746,5-Hydroxymethyl-2-furaldehyde,C6H6O3,126.03154,,Shaddox Samples - Compound Discoverer,,C11101,
359p,127.03881,10.336,Phloroglucinol,C6H6O3,126.03156,,Shaddox Samples - Compound Discoverer,,C02183,
1135p,127.0502,3.395,THYMINE,C5H6N2O2,126.11334,,,,C00178,
96215p,127.0502,1.01,4-IMIDAZOLEACETIC ACID,C5H6N2O2,126.11334,,,,C02835,
439194p,129.0158,0.89,D-GLYCERIC ACID,C3H6O4,106.07734,M+Na,,,C00258,
20745p,129.12723,8.989,Sulcatol,C8H16O2,128.12012,,Duffy archeology samples - Compound Discoverer,,NA,
7405p,130.0499,1.94,5-OXO-L-PROLINE,C5H7NO3,129.11398,,,,C01879,
7405p,130.04997,1.807,Pyroglutamic Acid,C5H7NO3,129.04259,,Shaddox Samples - Compound Discoverer,,C01879,
7047p,130.0651,6.63,QUINOLINE,C9H7N,129.15858,,,,C06413,
439227p,130.08626,1.3,PIPECOLATE/L-PIPECOLIC ACID,C6H11NO2,129.15704,,,,NA,
6575389p,130.08626,3.205,Nipecotic acid,C6H11NO2,129.07898,,Shaddox Samples - Compound Discoverer - GABA reuptake inhibitor,,NA,
122356p,131.1179,1.18,N-ACETYLPUTRESCINE,C6H14N2O,130.18816,,,,C02714,
199p,131.1291,0.7,AGMATINE SULFATE,C5H14N4,130.19146,,,,NA,
137p,132.0655,0.87,5-AMINOLEVULINIC ACID,C5H9NO3,131.12986,,,,C00430,
5810p,132.0655,0.77,4-HYDROXYPROLINE,C5H9NO3,131.12986,,,,C01157,
586p,132.07675,0.941,CREATINE,C4H9N3O2,131.13316,,,,C00300,
857p,132.1019,2.55,L-LEUCINE,C6H13NO2,131.17292,,,,C00123,
21236p,132.1019,2.73,NORLEUCINE,C6H13NO2,131.17292,,,,C01933,
,132.1019,10.9,N-BOC-L-tert-Leucine,C11H21NO4,,,Injection Standard,,NA,
6306p,132.10191,2.2,L-Isoleucine,C6H13NO2,131.17292,,,,C00407,
5942p,132.1495,0.57,BIS(3-AMINOPROPYL)AMINE,C6H17N3,131.21928,,,,C03375,
11756p,133.0495,6.01,ETHYLMALONIC ACID,C5H8O4,132.11462,,,,,
6267p,133.06077,0.739,L-ASPARAGINE,C4H8N2O3,132.11792,,,,C00152,
111p,133.0608,1.3,3-UREIDOPROPIONATE,C4H8N2O3,132.11792,,,,C02642,
637511p,133.0648,7.86,TRANS-CINNAMALDEHYDE,C9H8O,132.15922,,,,C00903,
6262p,133.0972,0.66,ORNITHINE,C5H12N2O2,132.16098,,,,C00077,
5960p,134.04478,0.742,ASPARTATE,C4H7NO4,133.10268,,,,C00049,
,134.04478,8.6,N-BOC-L-Aspartic Acid,C9H15NO6,,,Injection Standard,,NA,
13624p,134.07114,7.299,2-Aminobenzimidazole,C7H7N3,133.06385,,Shaddox Samples - Compound Discoverer,,NA,
22833604p,135.0652,6.88,DEOXYRIBOSE,C5H10O4,134.1305,,,,C01801,
IntStd4p,135.09613,0.89,Creatine-D3,C4H8D3N3O3,134.13316,,Cambridge Isotope Project,,NA,
778p,136.0427,0.96,HOMOCYSTEINE,C4H9NO2S,135.18476,,,,C05330,
190p,136.06177,1.607,ADENINE,C5H5N5,135.1267,,,,C00147,
790p,137.04579,2.124,HYPOXANTHINE,C5H4N4O,136.11146,,,,C00262,Compound Discoverer Duffy
64950p,137.07082,1.045,N-Methylnicotinamide,C7H8N2O,136.06366,,Duffy archeology samples - Compound Discoverer,,,
5280451p,138.0162,6.47,MALEAMATE,C4H5NO3,115.0874,M+Na,,,C01596,
5570p,138.05482,0.95,Trigonelline,C7H7NO2,137.04768,,Duffy archeology samples - Compound Discoverer,,C01004,
ISO-04p,138.055,8.01,ANTHRANILATE/4-AMINOBENZOATE,C7H7NO2,137.13598,,,,NA,
5147p,138.055,8.15,SALICYLAMIDE,C7H7NO2,137.13598,,,,,
1000p,138.0913,5.17,PHENYLETHANOLAMINE,C8H11NO,137.17904,,,,C02735,
5610p,138.0913,4.45,TYRAMINE,C8H11NO,137.17904,,,,C00483,
IntStd10p,138.12256,2.4,L-Leucine 13C6,(*CH3)2*CH*CH2*CH(NH2)*COOH,,,Cambridge Isotope Project,,NA,
135p,139.039,7.3,4-HYDROXYBENZOATE,C7H6O3,138.12074,,,,C00156,
18496p,139.04962,1.007,2-Aminonicotinic acid,C6H6N2O2,138.04293,,Duffy archeology samples - Compound Discoverer,,NA,
736715p,139.0502,2.05,UROCANATE,C6H6N2O2,138.12404,,,,C00785,
10393p,139.07576,13.991,Tyrosol,C8H10O2,138.06808,,Shaddox Samples - Compound Discoverer,,C06044,
10972p,140.0318,1.29,N-ACETYLGLYCINE ,C4H7NO3,117.10328,M+Na,,,,
72924p,140.0342,4.27,6-HYDROXYNICOTINATE,C6H5NO3,139.1088,,,,C01020,
487p,141.0158,2.71,METHYLMALONATE,C4H6O4,118.08804,M+Na,,,C02170,
1110p,141.01583,2.387,SUCCINATE,C4H6O4,118.08804,M+Na,,,C00042,
1015p,142.02637,0.736,ETHANOLAMINE PHOSPHATE,C2H8NO4P,141.062982,,,,C00346,
1015p,142.0264,0.73,2-AMINOETHYL DIHYDROGEN PHOSPHATE,C2H8NO4P,141.062982,,,,C00346,
99289p,142.0475,0.78,L-ALLOTHREONINE,C4H9NO3,119.11916,M+Na,,,C05519,
165271p,142.0975,0.65,L-HISTIDINOL,C6H11N3O,141.17104,,,,C00860,
IntStd3p,142.16521,2.45,L-Leucine-D10,C6H3D10NO2,141.234538,,,,NA,
8640p,144.0808,8.83,1-NAPHTHYLAMINE,C10H9N,143.18516,,,,C14790,
115244p,144.10167,1.02,Stachydrine,C7H13NO2,143.09463,,Shaddox Samples - Compound Discoverer,,C10172,
222285p,145.0471,0.8,ERYTHRITOL,C4H10O4,122.1198,M+Na,,,C00503,
443135p,145.0624,7.6,(S)-1-PHENYLETHANOL,C8H10O,122.1644,M+Na,,,C11348,
379p,145.1223,7.84,CAPRYLIC ACID,C8H16O2,144.21144,,,,C06423,
500p,146.0924,1.66,4-GUANIDINOBUTANOATE,C5H11N3O2,145.15974,,,,C01035,
725p,146.1176,1.47,DEOXYCARNITINE,C7H15NO2,145.1995,,,,C01181,
1102p,146.1652,0.57,SPERMIDINE,C7H19N3,145.24586,,,,C00315,
51p,147.02937,1.23,a-Ketoglutaric Acid,C5H6O5,146.09814,,,,NA,
ISO-05p,147.0652,6.51,ADIPIC ACID/3-METHYGLUTARIC ACID,C6H10O4,146.1412,,,,NA,
73917p,147.0652,7.01,MONO-METHYL GLUTARATE,C6H10O4,146.1412,,,,,
5961p,147.07642,0.759,L-GLUTAMINE,C5H10N2O3,146.1445,,,,C00064,
675p,147.0917,7.53,DIMETHYLBENZIMIDAZOLE,C9H10N2,146.1891,,,,C03114,
5962p,147.1128,0.66,L-LYSINE,C6H14N2O2,146.18756,,,,C00047,
22880p,148.0604,0.8,N-METHYL-D-ASPARTIC ACID,C5H9NO4,147.12926,,,,C12269,
99478p,148.0604,0.88,O-ACETYL-L-SERINE,C5H9NO4,147.12926,,,,C00979,
352294p,148.0604,1.15,N-ACETYL-DL-SERINE,C5H9NO4,147.12926,,,,NA,
33032p,148.06043,0.786,L-GLUTAMIC ACID,C5H9NO4,147.12926,,,,C00025,
150923p,148.0757,8.83,3-METHYL-2-OXINDOLE,C9H9NO,147.17386,,,,NA,
444539p,149.0597,9.89,TRANS-CINNAMATE,C9H8O2,148.15862,,,,C00423,
6137p,150.05833,1.506,L-METHIONINE,C5H11NO2S,149.21134,,,,C00073,
1673p,150.0774,2.18,3-METHYLADENINE,C6H7N5,149.15328,,,,C00913,
7618p,150.11229,0.782,Triethanolamine,C6H15NO3,149.10519,,Duffy archeology samples - Compound Discoverer,,C06771,
11897p,151.07521,8.563,"3,4-Dimethylbenzoic acid",C9H10O2,150.06808,,Duffy archeology samples - Compound Discoverer,,,
17520p,152.0164,10,"1,2-Benzisothiazolin-3-one",C7H5NOS,151.00918,,,,,
764p,152.05669,1.583,GUANINE,C5H5N5O,151.1261,,,,C00242,
3866p,152.07045,7.841,2-Phenylglycine,C8H9NO2,151.06309,,Shaddox Samples - Compound Discoverer,,,
1983p,152.0711,7,Acetaminophen/Paracetamol,C8H9NO2,151.16256,,,,NA,
26934p,152.10683,6.517,Norephedrine,C9H13NO,151.09971,,Shaddox Samples - Compound Discoverer,,C07911,
439368p,153.0522,7.88,PANTOLACTONE,C6H10O3,130.1418,M+Na,,,,
5055p,153.05444,8.232,Resorcinol monoacetate,C8H8O3,152.04715,,Shaddox Samples - Compound Discoverer,,NA,
6990p,153.0546,9.25,"2',4'-DIHYDROXYACETOPHENONE",C8H8O3,152.14732,,,,C03663,
11914p,153.0546,7.88,2-HYDROXYPHENYLACETIC ACID,C8H8O3,152.14732,,,,C05852,
127p,153.05519,9.37,4-Hydroxyphenylacetic acid,C8H8O3,152.14732,,,,C00642,
2537p,153.12721,9.895,Camphor,C10H16O,152.1199,,Shaddox Samples - Compound Discoverer,,,
442495p,153.1273,6.599,Pulegone,C10H16O,152.11991,,Duffy archeology samples - Compound Discoverer,,NA,
1549098p,154.0169,0.78,3-SULFINO-L-ALANINE,C3H7NO4S,153.15698,,,,C00606,
88064p,154.0475,2.34,N-ACETYL-L-ALANINE,C5H9NO3,131.12986,M+Na,,,C00624,
86p,154.0499,6.35,3-HYDROXYANTHRANILATE,C7H7NO3,153.13538,,,,C00632,
65083p,154.0499,1.72,3-AMINO-4-HYDROXYBENZOIC ACID,C7H7NO3,153.13538,,,,NA,
127115p,154.0499,2.03,3-AMINO-5-HYDROXYBENZOIC ACID,C7H7NO3,153.13538,,,,NA,
681p,154.0857,2.81,DOPAMINE,C8H11NO2,153.17844,,updated 10/18/17,,C03758,
743p,155.0315,4.81,GLUTARATE,C5H8O4,132.11462,M+Na,,,C00489,
72p,155.0339,6.66,"3,4-DIHYDROXYBENZOATE",C7H6O4,154.12014,,,,C00230,
6274p,156.0768,0.7,L-HISTIDINE,C6H9N3O2,155.15456,,,,C00135,
92824p,157.01074,1.141,(R)-MALATE,C4H6O5,134.08744,M+Na,,,C00497,
967p,157.0244,1.41,OROTIC ACID,C5H4N2O4,156.09626,,,,C00295,
90301p,157.0244,2.45,"2,4-DIHYDROXYPYRIMIDINE-5-CARBOXYLIC ACID",C5H4N2O4,156.09626,,,,NA,
IntStd4p,157.07808,0.89,Creatine-D3,C4H8D3N3O3,134.13316,[M+Na],Cambridge Isotope Project,,NA,
6510p,157.08334,6.462,Dipropylene glycol,C6H14O3,134.09429,[M+Na],Duffy archeology samples - Compound Discoverer,,NA,
439216p,159.04003,1.2,(S)-DIHYDROOROTATE,C5H6N2O4,158.11214,,,,C00337,
204p,159.0513,0.84,ALLANTOIN,C4H6N4O3,158.11544,,,,C01551,
800p,160.0758,10.664,Indole-3-acetaldehyde,C10H9NO,159.18456,,ID by Haiyan Liu,,C00637,
385p,161.0808,7.17,6-CARBOXYHEXANOATE,C7H12O4,160.16778,,,,C02656,
1150p,161.1073,7.41,TRYPTAMINE,C10H12N2,160.21568,,,,C00398,
54680871p,162.0551,8.067,Dihydroxyquinoine,C9H7NO2,161.15738,,ID by Haiyan Liu,,NA,
ISO-06p,162.0761,0.93,ALPHA-AMINOADIPATE/N-METHYL-L-GLUTAMATE,C6H11NO4,161.15584,,,,NA,
10685p,162.0913,9.1,INDOLE-3-ETHANOL,C10H11NO,161.20044,,,,C00955,
10917p,162.1125,1.01,L-CARNITINE,C7H15NO3,161.1989,,,,C15025,
1029p,163.1077,0.65,DL-5-HYDROXYLYSINE,C6H14N2O3,162.18696,,,,NA,
89594p,163.123,5.78,(S)-NICOTINE,C10H14N2,162.23156,,,,C00745,
78168p,165.0271,1.46,5-HYDROXYMETHYLURACIL,C5H6N2O3,142.11274,M+Na,,,C03088,
10250p,165.0407,3.65,"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,164.12156,,,,NA,
637542p,165.0546,8.24,4-COUMARATE,C9H8O3,164.15802,,,,C00811,
ISO-21p,165.09146,13.992,Eugenol/Isoeugenol,C10H12O2,164.08373,,Shaddox Samples - Compound Discoverer,,NA,
847p,166.05351,0.758,Methionine Sulfoxide,C5H11NO3S,165.04596,,Shaddox Samples - Compound Discoverer,,,
6140p,166.08626,6.2,Phenylalanine,C9H11NO2,165.18914,,,,C00079,
,166.08626,11.49,BOC-D-Phenylalanine,C14H19NO4,,,Injection Standard,,NA,
1017p,167.03346,15.731,Phthalic acid,C8H6O4,166.02618,,Duffy archeology samples - Compound Discoverer,,C01606,
5778p,167.0386,7.16,THIOPURINE S-METHYLETHER,C6H6N4S,166.20364,,,,NA,
873p,167.0703,8.6,3-(2-HYDROXYPHENYL)PROPANOATE,C9H10O3,166.1739,,,,C01198,
91p,167.0703,6.107,3-(Hydroxyphenyl) Propionic Acid,C9H10O3,166.1739,,ID by Haiyan Liu,,NA,
1066p,168.0291,1.85,"PYRIDINE-2,3-DICARBOXYLATE",C7H5NO4,167.1189,,,,C03722,
18189p,168.0631,3.65,4-ACETAMIDOBUTANOATE,C6H11NO3,145.15644,M+Na,,,NA,
1050p,168.0655,1.98,PYRIDOXAL,C8H9NO3,167.16196,,,,C00250,
36143p,168.0655,0.88,4-HYDROXY-L-PHENYLGLYCINE,C8H9NO3,167.16196,,,,NA,
1669p,168.1019,6.2,3-METHOXYTYRAMINE,C9H13NO2,167.20502,,,,C05587,
1005p,168.9897,1.06,PHOSPHO(ENOL)PYRUVIC ACID,C3H5O6P,168.041962,,,,NA,
1175p,169.03562,1.922,URATE,C5H4N4O3,168.11026,,,,C00366,
780p,169.0495,6.33,HOMOGENTISATE,C8H8O4,168.14672,,,,C00544,
72886p,170.0118,0.76,L-CYSTEIC ACID,C3H7NO5S,169.15638,,,,C00506,
1054p,170.08117,2.9,PYRIDOXINE,C8H11NO3,169.17784,,,,C00314,
439260p,170.0812,1.03,NORADRENALINE,C8H11NO3,169.17784,,,,C00547,
64969p,170.0924,0.76,N(PAI)-METHYL-L-HISTIDINE,C7H11N3O2,169.18114,,,,C01152,
11487p,170.0967,13.7,Diphenylamine,C12H11N,169.22244,,"Kenworthy turf grass samples; HMDB, Metline",,C11016,
668p,171.0053,0.8,DIHYDROXYACETONE PHOSPHATE,C3H7O6P,170.057842,,,,C00111,
1081p,171.0264,2.36,CITRAMALATE,C5H8O5,148.11402,M+Na,,,C00815,
370p,171.036,7.214,Gallic Acid,C7H6O5,170.11954,,ID by Haiyan Liu,,C01424,
,171.16862,0.93,L-Carnitine (trimethyl-D9),,,,CIL Labeled Carnitine Standards Set B,,NA,
IntStd11p,172.10691,6.13,L-Phenylalanine 13C6,*C6H5CH2CH(NH2)COOH,,,Cambridge Isotope Project,,NA,
444305p,173.00566,0.915,TARTARIC ACID,C4H6O6,150.08684,M+Na,,,C00898,
439162p,173.021,0.78,SN-GLYCEROL 3-PHOSPHATE,C3H9O6P,172.073722,,,,C00093,
10975657p,173.0419,0.73,D-Ribose,C5H10O5,150.1299,[M+Na],Ring Trial,,C00121,
ISO-07p,173.042,0.79,ALDOPENTOSE,C5H10O5,150.1299,M+Na,,,NA,
6849p,174.05473,7.972,6-Quinolincarboxylic Acid,C10H7NO2,173.04768,,Duffy archeology samples - Compound Discoverer,,NA,
7124p,174.055,6.98,2-QUINOLINECARBOXYLIC ACID,C10H7NO2,173.16808,,,,C06325,
70912p,174.1125,7.58,N-ACETYL-L-LEUCINE,C8H15NO3,173.2096,,,,C02710,
444212p,175.02371,3.467,TRANS-ACONITATE,C6H6O6,174.10824,,,,C02341,
ISO-08p,175.0577,0.77,C5-SUGAR ALCOHOL ,C5H12O5,152.14578,M+Na,,,NA,
397p,175.0866,8.02,INDOLE-3-ACETAMIDE,C10H10N2O,174.1992,,,,C02693,
10457p,175.0965,7.87,SUBERIC ACID,C8H14O4,174.19436,,,,C08278,
6322p,175.119,0.74,L-ARGININE,C6H14N4O2,174.20096,,,,C00062,
6088p,175.123,7.69,N-?-METHYLTRYPTAMINE,C11H14N2,174.24226,,,,NA,
65065p,176.0553,1.58,N-ACETYL-L-ASPARTIC ACID,C6H9NO5,175.13936,,,,C01042,
439918p,176.0666,0.88,N-AMIDINO-L-ASPARTATE,C5H9N3O4,175.14266,,,,C03139,
440266p,136.0751,1.21,OCTOPAMINE,C8H11NO2,153.17844,,Updated 10/18/17,,C04227,
802p,176.0706,9.15,INDOLE-3-ACETATE,C10H9NO2,175.18396,,,,C00954,
9750p,176.10297,0.809,CITRULLINE,C6H13N3O3,175.18572,,,,C00327,
2966p,176.118,8.31,Debrisoquine,C10H13N3,175.23032,,Ring Trial,,C13650,
54670067p,177.03936,2.149,ASCORBATE,C6H8O6,176.12412,,,,C00072,
5202p,177.1016,6.87,SEROTONIN,C10H12N2O,176.21508,,updated 10/18/17,,C00780,
854019p,177.1028,4.8,Cotinine,C10H12N2O,176.21508,,RT old pump?,,,
6995182p,178.0532,6.46,FORMYL-L-METHIONYL PEPTIDE,C6H11NO3S,177.22144,,,,NA,
439498p,179.04849,0.76,CYS-GLY,C5H10N2O3S,178.2095,,,,C01419,
193653p,180.0325,0.92,S-CARBOXYMETHYL-L-CYSTEINE,C5H9NO4S,179.19426,,,,,
464p,180.0655,7.32,HIPPURATE,C9H9NO3,179.17266,,,,C01586,
464p,180.0662,7.93,Hippuric Acid,C9H9NO3,179.17266,,Ring Trial,,C01586,
ISO-09p,180.0866,0.71,GLUCOSAMINE/MANNOSAMINE,C6H13NO5,179.17112,,,,NA,
91588p,180.1015,4.894,Salsolinol,C10H13NO2,179.09428,,Shaddox Samples - Compound Discoverer,,C09642,
91588p,180.1019,4.87,"1-METHYL-6,7-DIHYDROXY-1,2,3,4-TETRAHYDROISOQUINOLINE",C10H13NO2,179.21572,,,,C09642,
979p,181.0495,10.46,3-(4-HYDROXYPHENYL)PYRUVATE,C9H8O4,180.15742,,,,C01179,
1549111p,181.0495,7.64,CAFFEATE,C9H8O4,180.15742,,,,C01481,
89034p,181.0641,0.74,L-METHIONINE SULFOXIMINE,C5H12N2O3S,180.22538,,,,C03510,
ISO-10p,181.072,6.71,THEOPHYLLINE/PARAXANTHINE,C7H8N4O2,180.16402,,,,NA,
