Garrett Lab ID,M/Z,Retention,Name,Formula,Molecular Weight,Adduct,Notes,,KEGG,
5429p,181.072,6.38,THEOBROMINE,C7H8N4O2,180.16402,,,,C07480,
8158p,181.1199,11.77,NONANOATE,C9H18O2,158.23802,M+Na,,,C01601,
6950574p,182.08086,3.403,2-Hydroxyphenylalanine,C9H11NO3,181.07365,,Shaddox Samples - Compound Discoverer,,,
6057p,182.08117,3.432,L-TYROSINE,C9H11NO3,181.18854,,,,C00082,
,182.08117,10.05,BOC-L-Tyrosine,C14H19NO5,,,Injection Standard,,NA,
3613685p,183.074,12.36,ETHYL 3-UREIDOPROPIONATE,C6H12N2O3,160.17108,M+Na,,,NA,
6535p,183.07794,9.294,Triethyl phosphate,C6H15O4P,182.0708,,Shaddox Samples - Compound Discoverer,,NA,
6723p,184.0604,5.75,4-PYRIDOXATE,C8H9NO4,183.16136,,,,C00847,
1014p,184.0733,0.77,PHOSPHOCHOLINE,C5H14NO4P,184.150662,,,,C00588,
1662p,185.042,3.09,3-HYDROXY-3-METHYLGLUTARATE,C6H10O5,162.1406,M+Na,,,C03761,
78016p,185.0447,7.198,4-O-Methylgallic Acid,C8H8O5,184.1461,,ID by Haiyan Liu,,,
106p,186.0162,0.76,O-PHOSPHOSERINE,C3H8NO6P,185.072482,,,,NA,
12035p,186.0195,3.36,N-ACETYL-L-CYSTEINE,C5H9NO3S,163.19486,M+Na,,,NA,
439278p,187.00022,0.908,L-2-PHOSPHOGLYCERIC ACID,C3H7O7P,186.057242,,,,NA,
10250p,187.0226,3.65,"2,4-DIHYDROXYPTERIDINE",C6H4N4O2,164.12156,M+Na,,,NA,
ISO-17p,187.0577,0.93,6-DEOXY-HEXOSE,C6H12O5,164.15648,M+Na,,,NA,
SF2,188.07061,7.6,Tryptophan-NH3,C11H10NO2,,,Source fragment,,NA,
5375048p,188.07074,7.59,Indoleacrylic Acid,C11H9NO2,187.06333,,Shaddox Samples - Compound Discoverer,,C00331,
IntStd8p,188.10183,3.24,L-Tyrosine 13C6,HO*C6H4CH2CH(NH2)COOH,,,Cambridge Isotope Project,,NA,
49937p,189.05615,8.45,1-Hexanesulfonic acid,C6H14O3S,166.06636,[M+Na],,,NA,
2266p,189.1121,8.52,AZELAIC ACID,C9H16O4,188.22094,,,,C08261,
92907p,189.1234,1.11,N-ALPHA-ACETYL-L-LYSINE,C8H16N2O3,188.22424,,,,C12989   ,
92843p,189.1235,6.614,Glycyl-L-leucine,C8H16N2O3,188.11609,,Shaddox Samples - Compound Discoverer,,C02155,
74300p,189.1485,9.16,10-HYDROXYDECANOATE,C10H20O3,188.264,,,,NA,
440120p,189.1598,0.75,"NEPSILON,NEPSILON,NEPSILON-TRIMETHYLLYSINE",C9H20N2O2,188.2673,,,,NA,
3845p,190.0498,7.66,Kynurenic Acid,C10H7NO3,189.16748,,Ring Trial,,C01717,
3845p,190.0499,7.17,4-HYDROXY-2-QUINOLINECARBOXYLIC ACID,C10H7NO3,189.16748,,,,C01717,
185p,190.071,2.32,N-ACETYL-DL-GLUTAMIC ACID,C7H11NO5,189.16594,,,,C00624,
74706p,190.0863,10.7,METHYL INDOLE-3-ACETATE,C11H11NO2,189.21054,,,,,
1052p,191.0791,0.82,PYRIDOXAMINE,C8H12N2O2,168.19308,M+Na,,,C00534,
SF3,191.08944,7.6,"Tryptophan-2,3,3-D3-NH3",C11H7D3NO2,,,Source fragment,,NA,
439283p,191.1026,0.69,"LL-2,6-DIAMINOHEPTANEDIOATE",C7H14N2O4,190.19706,,,,C00666,
105024p,192.0087,1.9,SELENOMETHIONINE,C5H11NO2Se,196.10634,,,,C05335,
1054p,192.06311,2.99,PYRIDOXINE,C8H11NO3,169.17784,M+Na,,,C00314,
1826p,192.0655,7.48,5-HYDROXYINDOLEACETATE,C10H9NO3,191.18336,,,,C05635,
6180p,192.0689,6.7,N-ACETYL-DL-METHIONINE,C7H13NO3S,191.24802,,,,NA,
311p,193.03444,1.83,CITRATE,C6H8O7,192.12352,M+H,,,C00158,
,210.061,1.83,Citrate+NH3,,,M+NH3,,,,
,215.016,1.83,Citrate+Na,,,M+Na,,,,
,129.0185,1.83,Citrate source fragment (+H and + NH3),,,source fragment,,,,
,157.0133,1.83,Citrate source fragment (+NH3),,,source fragment,,,,
,175.0238,1.83,Citrate source fragment (+NH3),,,source fragment,,,,
1198p,193.03487,1.206,ISOCITRIC ACID,C6H8O7,192.12352,,,,C00311,
6508p,193.07066,0.886,QUINATE,C7H12O6,192.16658,,,,C00296,
439774p,195.0264,1.46,3-DEHYDROSHIKIMATE,C7H8O5,172.13542,M+Na,,,C02637,
445858p,195.0652,8.49,FERULATE,C10H10O4,194.184,,,,C01494,
2148p,195.07699,4.74,4-Aminohippuric Acid,C9H10N2O3,194.1873,,,,D06890 ,
2519p,195.0877,7.22,CAFFEINE,C8H10N4O2,194.1906,,,,C07481,
10243p,196.0369,3.71,4-QUINOLINECARBOXYLIC ACID,C10H7NO2,173.16808,M+Na,,,NA,
10253p,196.0395,8.066,Hydroxyhippuric acid,C9H9NO4,195.17206,,ID by Haiyan Liu,,NA,
444212p,197.00566,3.467,TRANS-ACONITATE,C6H6O6,174.10824,M+Na,,,C02341,
8742p,197.04204,1.05,SHIKIMATE,C7H10O5,174.1513,M+Na,RT corrected from 1.1min by std 03.01.2018 CC,,C00493,
6047p,198.07608,2.361,"3,4-DIHYDROXY-L-PHENYLALANINE",C9H11NO4,197.18794,,,,C00355,
IntStd5p,198.09827,7.92,Caffeine 13C3,*C3C5H10N4O2,197.168565,,Cambridge Isotope Project,,NA,
IntStd2p,198.10704,7.9,Caffeine-D3,C8H7D3N4O2,197.209085,,,,NA,
10742p,199.0601,7.3,Syringic Acid,C9H10O5,198.1727,,Kenworthy turf grass samples; mzCloud,,C10833,
24154p,202.0686,0.69,D-(+)-GALACTOSAMINE,C6H13NO5,179.17112,M+Na,,,NA,
ISO-15p,203.0526,0.79,ALDO/KETO-HEXOSE,C6H12O6,180.15588,M+Na,,,NA,
1103p,203.223,0.55,SPERMINE,C10H26N4,202.34024,,,,C00750,
13067p,204.1019,11.3,ETHYL 3-INDOLEACETATE,C12H13NO2,203.23712,,,,NA,
439356p,204.1131,6.81,L-TRYPTOPHANAMIDE,C11H13N3O,203.24042,,,,C00977,
,204.1232,4.013668,Acyl-Carnitine(2:0),,,M+H,K. Dave Brain Tissue - LipidMatch,,NA,
7045767p,204.1236,3.9,L-Acetylcarnitine,C9H17NO4,203.23558,,I.Kurland Mouse samples,,C02571,
92180p,204.1244,7.59,N6-(DELTA2-ISOPENTENYL)-ADENINE,C10H13N5,203.24372,,,,C04083,
ISO-16p,205.0683,0.75,6C-SUGAR ALCOHOL,C6H14O6,,,,,NA,
6305p,205.09715,7.6,Tryptophan,C11H12N2O2,204.22518,,,,C00078,
,205.09715,11.52,N-BOC-L-Tryptophan,C16H20N2O4,,,Injection Standard,,NA,
5699p,206.0453,7.47,Xanthurenic Acid,C10H7NO4,205.16688,,,,C02470,
863p,206.0668,9.12,LIPOAMIDE,C8H15NOS2,205.3408,,,,C00248,
1237p,206.0788,2.1,DL-NORMETANEPHRINE,C9H13NO3,183.20442,M+Na,,,C05589,
439459p,207.049,6.044,Homocitric acid,C7H10O7,206.1501,,ID by Haiyan Liu,,C01251,
3672p,207.1385,8.2,Ibuprofen,C13H18O2,206.28082,,,,C01588,
,207.1414,4.72,O-Acetyl-Lcarnitine:HCl (N-methyl-D3),,,,CIL Labeled Carnitine Standards Set B,,NA,
74839p,208.0968,8.12,N-ACETYL-L-PHENYLALANINE,C11H13NO3,207.22582,,,,C03519,
IntStd1p,208.11654,7.6,"Tryptophan-2,3,3-D3",C11H9D3N2O2,207.243665,,,,NA,
124844p,208.13281,9.004,"1,3-Benzodioxolyl-N-methylbutanamine (MBDB)",C12H17NO2,207.12593,,Duffy archeology samples - Compound Discoverer,,NA,
IntStd6p,209.07329,0.72,D-Glucose 13C6,HO*CH2(*CHOH)4*CHO,,[M+Na],Cambridge Isotope Project,,NA,
152432p,209.0787,7.024,5-(Dihydroxyphenyl)-gamma-Valerolactone,C11H12O4,208.21058,,ID by Haiyan Liu,,NA,
440743p,209.0914,11.2,Formyl-5-hydroxykynurenamine,C10H12N2O3,208.08479,,Yang - lung cancer cells; HMDB; tentative (no MS/MS confirmation),,C05647,
161166p,209.09207,6.162,L-KYNURENINE,C10H12N2O3,208.21388,,,,C00328,
846p,209.0921,6.15,KYNURENINE,C10H12N2O3,208.21388,,,,C00328,
,212.0899,9,N-BOC-L-Alanine,C8H15NO4,,M+Na,Injection Standard,,NA,
9307p,212.0917,6.04,3-METHOXY-L-TYROSINE,C10H13NO4,211.21452,,,,NA,
19241p,214.08911,11.926,N-Butylbenzenesulfonamide,C10H15NO2S,213.08235,,Duffy archeology samples - Compound Discoverer,,NA,
311p,215.01622,2.048,CITRATE,C6H8O7,192.12352,M+Na,,,C00158,
1198p,215.01622,1.206,ISOCITRIC ACID,C6H8O7,192.12352,M+Na,,,C00311,
6508p,215.05261,0.886,QUINATE,C7H12O6,192.16658,M+Na,,,C00296,
445027p,215.139,7.67,DETHIOBIOTIN,C10H18N2O3,214.26152,,,,C01909,
IntStd7p,216.13457,7.63,L-Tryptophan 13C11,(*C8H5NH)*CH2*CH(NH2)*COOH,,,Cambridge Isotope Project,,NA,
ISO-11p,217.0319,0.78,D-GLUCURONIC ACID/D-GLUCURONOLACTONE/D-(+)-GALACTURONIC ACID,C6H10O7,194.1394,M+Na,,,NA,
94214p,217.0683,0.98,METHYL BETA-D-GALACTOSIDE,C7H14O6,194.18246,M+Na,,,,
67427p,217.1295,1.6,N-Acetyl-Arginine ,C8H16N4O3,216.23764,,,,NA,
6490p,217.17938,12.603,Texanol,C12H24O3,216.17211,,Duffy archeology samples - Compound Discoverer,,NA,
79034p,217.1798,10.34,OMEGA-HYDROXYDODECANOIC ACID,C12H24O3,216.31716,,,,C08317,
107738p,218.1392,6.63,Proprionylcarnitine,C10H19NO4,217.26216,,I.Kurland Mouse samples,,NA,
ISO-12p,219.0475,0.78,GLUCONIC ACID/D-GULONIC ACID GAMA-LACTONE,C6H12O7,196.15528,M+Na,,,NA,
903p,219.1128,7.46,N-ACETYLSEROTONIN,C12H14N2O2,218.25176,,,,C00978,
6440942p,219.1745,14.332,"3,5-Di-tert-butylbenzaldehyde",C15H22O,218.16707,,Shaddox Samples - Compound Discoverer,,NA,
439406p,220.0816,1.95,O-SUCCINYL-L-HOMOSERINE,C8H13NO6,219.19192,,,,C01118,
6613p,220.1179,6.3,D-PANTOTHENIC ACID,C9H17NO5,219.23498,,,,C00864,
6613p,220.1179,6.6,Pantothenic Acid,C9H17NO5,219.23498,,,,C00864,
144p,221.0921,6.18,5-HYDROXY-L-TRYPTOPHAN,C11H12N2O3,220.22458,,,,C01017,
,221.18,0.85,Dimer of Choline,C5H13NO,,,,,NA,
,221.15693,6.68,O-Propionyl_L-carnitine:HCl ,,,,CIL Labeled Carnitine Standards Set B,,NA,
439258p,223.0747,0.71,L-CYSTATHIONINE,C7H14N2O4S,222.26206,,,,C02291,
8575p,223.09599,12.44,Monobutyl phthalate,C12H14O4,222.08921,,Duffy archeology samples - Compound Discoverer,,,
97750p,225.0733,9.34,DIETHYL 2-METHYL-3-OXOSUCCINATE,C9H14O5,202.20446,M+Na,,,C04067,
89p,225.087,3.26,3-HYDROXYKYNURENINE,C10H12N2O4,224.21328,,,,C02794,
10251p,225.09062,14.391,Flavanone,C15H12O2,224.08373,,Shaddox Samples - Compound Discoverer,,NA,
1892p,225.09879,7.82,7-(b-Hydroxyethyl)theophylline,C9H12N4O3,224.21658,,,,NA,
5281929p,225.1485,11.55,METHYL JASMONATE,C13H20O3,224.2961,,,,C11512,
65124p,227.0662,6.4,3-NITRO-L-TYROSINE,C9H10N2O5,226.1861,,,,NA,
439224p,227.11387,0.751,CARNOSINE,C9H14N4O3,226.23246,,,,C00386,
13711p,228.0979,2.27,DEOXYCYTIDINE,C9H13N3O4,227.21722,,,,C00881,
,229.15471,7.232,Leu Pro,C11H20N2O3,228.14739,,Shaddox Samples - Compound Discoverer,,NA,
C00199,231.02654,0.71,Ribulose 5-Phosphate,C5H11O8P,230.109802,,Maize project,,C00117,
,231.0991,1.1,Ergothioneine,C9H15N3O2S,,M+H,DBS brain,,C05570,
10177002p,232.1549,7.31,Isobutyrylcarnitine,C11H21NO4,231.28874,,I.Kurland Mouse samples,,NA,
213144p,232.1549,7.41,Butyrylcarnitine,C11H21NO4,231.28874,,I.Kurland Mouse samples,,C02862,
33037p,233.0268,0.83,D-SACCHARIC ACID,C6H10O8,210.1388,M+Na,,,C00818,
896p,233.1285,8.92,MELATONIN,C13H16N2O2,232.27834,,,,C01598,
,235.17253,7.43,O-Butyryl-L-carnitine:HCl,,,,CIL Labeled Carnitine Standards Set B,,NA,
3676p,235.181,8.4,Lidocaine,C14H22N2O,234.33728,,I.Kurland Mouse samples,,C07073,
910p,237.08711,10.738,Formylkynurenine,C11H12N2O4,236.07971,,Shaddox Samples - Compound Discoverer,,C02406,
IntStd7p,238.11651,7.63,L-Tryptophan 13C11,(*C8H5NH)*CH2*CH(NH2)*COOH,,[M+Na],Cambridge Isotope Project,,NA,
,241.031677,0.68,L-Cystine,C6H12N2O4S2,240.023852,M+H,Found in neat QC,,NA,
112072p,241.1295,0.8,L-ANSERINE,C10H16N4O3,240.25904,,,,C01262,
ISO-13p,244.07916,0.8,N-ACETYL-HEXOSAMINE,C8H15NO6,221.2078,M+Na,RT corrected from 0.86min by std. 03012018 CC,,NA,
6175p,244.0928,1.57,CYTIDINE,C9H13N3O5,243.21662,,RT corrected from 1.7min by std. 03012018 CC,,C00475,
171548p,245.0954,7.36,BIOTIN,C10H16N2O3S,244.31064,,,,C00120,
916p,245.2336,0.76,N1-ACETYLSPERMINE,C12H28N4O,244.37692,,,,C02567,
169235p,246.1705,8.1,Isovalerylcarnitine,C12H23NO4,245.31532,,I.Kurland Mouse samples,,,
6426903p,246.1705,7.95,Valerylcarnitine,C12H23NO4,245.31532,,I.Kurland Mouse samples,,,
439917p,247.10772,8.495,N-ACETYL-D-TRYPTOPHAN,C13H14N2O3,246.26186,,,,NA,
1051p,248.0319,1.92,PYRIDOXAL 5'-PHOSPHATE,C8H10NO6P,247.141862,,,,C00018,
,248.1498,5.311221,Acyl-Carnitine(4-OH),,,M+H,K. Dave Brain Tissue - LipidMatch,,NA,
1053p,249.0643,13.1,Pyridoxamine 5'-phosphate,C8H13N2O5P,248.172982,,Gurley citrus samples; HMDB,,C00647,
13712p,251.0638,4.54,DEOXYURIDINE,C9H12N2O5,228.20198,M+Na,,,C00526,
8559p,251.12715,13.724,Dipropyl phthalate,C14H18O4,250.12051,,Duffy archeology samples - Compound Discoverer,,NA,
13730p,252.1091,5.81,2'-DEOXYADENOSINE,C10H13N5O3,251.24192,,,,C00559,
439182p,252.1091,6.14,5'-DEOXYADENOSINE,C10H13N5O3,251.24192,,,,C05198,
C00199,253.00838,0.71,Ribulose 5-Phosphate,C5H11O8P,230.109802,[M+Na],Maize project,,C00117,
439167p,253.0084,0.78,D-RIBOSE 5-PHOSPHATE,C5H11O8P,230.109802,M+Na,,,C00117,
440744p,253.0808,11.2,5-Hydroxy-N-formylkynurenine,C11H12N2O5,252.07462,,Yang - lung cancer cells; HMDB; tentative (no MS/MS confirmation),,C05648,
,254.18685,10.9,N-BOC-L-tert-Leucine,C11H21NO4,,M+Na,Injection Standard,,NA,
,255.2258,8.11,"O-Isovaleryl-L-carnitine (N,N,N-trimethyl-D9)",,,,CIL Labeled Carnitine Standards Set B,,NA,
445638p,255.23117,14.23,Palmitoleic acid,C16H30O2,254.22389,,Duffy archeology samples - Compound Discoverer,,C08362,
,256.07974,8.6,N-BOC-L-Aspartic Acid,C9H15NO6,,[M+Na],Injection Standard,,NA,
71920p,258.1094,0.8,Glycerophosphocholine,C8H20NO6P,257.102823,,Yang - lung cancer cells; HMDB,,C00670,
7784p,259.18988,14.276,Dibutyl adipate,C14H26O4,258.18311,,Duffy archeology samples - Compound Discoverer,,NA,
72361p,260.0435,0.74,D-GLUCOSAMINE 6-SULFATE,C6H13NO8S,259.23432,,,,NA,
440997p,260.053,0.71,D-GLUCOSAMINE 6-PHOSPHATE,C6H14NO8P,259.151022,,,,C00352,
ISO-14p,261.037,0.772,HEXOSE-6-PHOSPHATE,C6H13O9P,260.135782,,,,NA,
62551p,261.13058,7.032,PEG n5,C10H22O6,238.1414,[M+Na],Shaddox Samples - Compound Discoverer,,NA,
,262.1649,6.611894,Acyl-Carnitine(5-OH),,,M+H,K. Dave Brain Tissue - LipidMatch,,NA,
6029p,267.05876,2.899,URIDINE,C9H12N2O6,244.20138,M+Na,,,C00299,
16219421p,267.0604,5.32,GLYCERALDEHYDE 3-PHOSPHATE DIETHYL ACETAL,C7H17O7P,244.179442,M+Na,,,NA,
187790p,268.104,6.01,2'-DEOXYGUANOSINE,C10H13N5O4,267.24132,,,,C00330,
10100p,269.06219,0.985,Homocystine,C8H16N2O4S2,268.05515,,Shaddox Samples - Compound Discoverer,,C01817,
6021p,269.08805,5.821,INOSINE,C10H12N4O5,268.22608,,,,C00294,
5360696p,272.20013,15.651,Dextromethorphan,C12H26N5P,271.19294,,Duffy archeology samples - Compound Discoverer,,C06947,
69131857p,273.18427,14.559,Galaxolidone,C18H24O2,272.17763,,Duffy archeology samples - Compound Discoverer,,NA,
3026p,279.15833,14.732,Dibutyl phthalate,C16H22O4,278.15104,,Shaddox Samples - Compound Discoverer,,C14214,
6782p,279.2319,14.756,Diisobutylphthalate,C16H22O4,278.15181,,Duffy archeology samples - Compound Discoverer,,NA,
7784p,281.17184,14.276,Dibutyl adipate,C14H26O4,258.18311,[M+Na],Duffy archeology samples - Compound Discoverer,,NA,
27476p,282.1197,6.15,1-METHYLADENOSINE,C11H15N5O4,281.2679,,,,C02494,
ISO-18p,283.0189,0.76,GLUCOSE/FRUCTOSE-PHOSPHATE,C6H13O9P,260.135782,M+Na,,,NA,
6802p,284.09894,5.955,GUANOSINE,C10H13N5O5,283.24072,,,,C00387,
64959p,285.083,6.01,XANTHOSINE,C10H12N4O6,284.22548,,,,C01762,
,288.1212,11.49,BOC-D-Phenylalanine,C14H19NO4,,M+Na,Injection Standard,,NA,
11953814p,288.2175,10.35,Octanoylcarnitine,C15H29NO4,287.39506,,I.Kurland Mouse samples,,C02838,
60961p,268.1045,5.8,ADENOSINE,C10H13N5O4,267.24132,M+Na,,,C00212,
,291.23499,10.38,O-Octanoyl-L-carnitine:HCl(N-methyl-D3),,,,CIL Labeled Carnitine Standards Set B,,NA,
6049p,293.098,2.03,EDTA,C10H16N2O8,292.24264,,Rainey plasma samples,,C00284,
3117p,297.05756,14.062,Disulfiram,C10H20N2S4,296.05093,,Duffy archeology samples - Compound Discoverer,,C01692,
439176p,298.09684,6.681,5'-METHYLTHIOADENOSINE,C11H15N5O3S,297.3335,,,,C00170,
91493p,299.0139,0.82,6-PHOSPHOGLUCONIC ACID,C6H13O10P,276.135182,M+Na,,,C00345,
,300.2905,13.56985,Sphingosine (d18:1),,,M+H,K. Dave Brain Tissue - LipidMatch,,C00319,
53477823p,302.2325,10.6,"2,6-Dimethylheptanoyl Carnitine",C16H31NO4,301.4216,,,,None,
91486p,302.3054,12.84,SPHINGANINE,C18H39NO2,301.50776,,,,C00836,
79050p,303.253,13.89,RAC-GLYCEROL 1-MYRISTATE,C17H34O4,302.44946,,,,NA,
,304.11612,10.05,BOC-L-Tyrosine,C14H19NO5,,M+Na,Injection Standard,,NA,
444899p,305.24667,14.95,Arachadonic acid,C20H32O2,304.24023,,Duffy archeology samples - Compound Discoverer,,NA,
53481030p,306.0486,1.16,"CYTIDINE 2',3'-CYCLIC MONO-PHOS-PHATE",C9H12N3O7P,305.181242,,,,NA,
65359p,307.0838,3.91,Glutathione Disulfide,C20H32N6O12S2,612.63108,[M+2H]2+,RT corrected from 3.8min 03012018 CC. Measured as glutathione.,,C00127,
,307.1012,8.3,Starch acetate,,,,Kenworthy turf grass samples - HMDB; Metlin,,NA,
13945p,308.06421,1.505,2'-DEOXYCYTIDINE 5'-MONOPHOSPHATE,C9H14N3O7P,307.197122,,,,C00239,
65063p,309.0482,2.06,2'-DEOXYURIDINE 5'-MONO-PHOS-PHATE,C9H13N2O8P,308.181882,,,,NA,
439197p,310.11326,0.857,N-ACETYLNEURAMINATE,C11H19NO9,309.26986,,,,NA,
6454895p,311.1113,7.6,E-1-O-Cinnamoyl-beta-D-glucose,C15H18O7,310.29922,,Gurley citrus samples; HMDB,,NA,
65104p,313.1552,8.9,Phe-Phe,C18H20N2O3,312.363,,I.Kurland Mouse samples,,,
10245190p,316.2488,11.56,Decanoylcarnitine,C17H33NO4,315.44822,,I.Kurland Mouse samples,,C03299,
9700p,323.0639,3.74,THYMIDINE 5'-MONOPHOSPHATE,C10H15N2O8P,322.208462,,,,C00364,
6131p,324.0591,1.12,CMP,C9H14N3O8P,323.196522,,,,C00055,
6131p,324.0591,1.61,3'-CMP,C9H14N3O8P,323.196522,,,,C05822,
6030p,325.04314,1.366,URIDINE-5-MONOPHOSPHATE,C9H13N2O9P,324.181282,,,,NA,
,325.1268,8.6,Garcinia lactone dibutyl ester,C14H22O7,302.13655,[M+Na],Gurley citrus samples; HMDB,,NA,
,327.1321,11.52,N-BOC-L-Tryptophan,C16H20N2O4,,M+Na,Injection Standard,,NA,
444899p,327.22864,14.95,Arachadonic acid,C20H32O2,304.24023,[M+Na],Duffy archeology samples - Compound Discoverer,,C00219,
ISO-19p,330.0598,5.84,ADENOSINE-CYCLIC MONOPHOSPHATE,C10H12N5O6P,329.205942,,,,C00575,
124886p,330.0736,1.54,Glutathione(M+Na),C10H17N3O6S,307.32348,[M+Na],RT corrected from 1.7min by std 03.01.2018 CC,,C00051,
,308.0901,1.54,Glutathione,C10H17N3O6S,307.32348,,added by std 03.01.2018 CC,,,
6777p,331.18961,15.731,Dicyclohexyl phthalate,C20H26O4,330.18221,,Duffy archeology samples - Compound Discoverer,,NA,
5282965p,331.24756,13.886,Trihydroxy octadecenoic acid,C18H34O5,330.24073,,Shaddox Samples - Compound Discoverer,,NA,
12599p,332.07545,2.752,DAMP,C10H14N5O6P,331.221822,,,,C00360,
14180p,335.06388,1.169,NICOTINAMIDE MONONUCLEOTIDE,C11H15N2O8P,334.219162,,,,C00455,
5365371p,338.34338,16.915,Erucamide,C22H43NO,337.33447,,Shaddox Samples - Compound Discoverer,,NA,
65110p,339.07,1.58,5-AMINOIMIDAZOLE-4-CARBOXAMIDE-1-BETA-D-RIBOFURANOSYL 5'-MONOPHOSPHATE,C9H15N4O8P,338.21,,,,NA,
89272p,343.1532,14.555,Dipropyleneglycol dibenzoate,C20H22O5,342.14672,,Duffy archeology samples - Compound Discoverer,,NA,
