Garrett Lab ID,M/Z,Retention,Name,Formula,Molecular Weight,Adduct,Notes,,KEGG,
168381p,344.2795,12.06,LAUROYLCARNITINE,C19H37NO4,343.50138,,,,None,
168381p,344.2801,12.71,Dodecanoylcarnitine,C19H37NO4,343.50138,,I.Kurland Mouse samples,,None,
9700p,345.0458,3.74,THYMIDINE 5'-MONOPHOSPHATE,C10H15N2O8P,322.208462,M+Na,,,C00364,
1131p,345.0781,0.98,THIAMINE MONOPHOSPHATE,C12H17N4O4PS,344.326542,,,,C01081,
24316p,346.0547,5.99,"GUANOSINE 3',5'-CYCLIC MONOPHOSPHATE",C10H12N5O7P,345.205342,,,,C00942,
4485p,347.1242,12.22,Nifedipine,C17H18N2O6,346.33462,,Ring Trial,,C07266,
5753p,347.2217,9.89,CORTICOSTERONE,C21H30O4,346.4605,,,,C02140,
53477676p,347.2217,10.11,REICHSTEIN'S SUBSTANCE S,C21H30O4,346.4605,,,,C05488,
6083p,348.0704,1.77,ADENOSINE 5'-MONOPHOSPHATE,C10H14N5O7P,347.221222,,,,C00020,
65059p,348.0704,3.42,2'-DEOXYGUANOSINE 5'-MONOPHOSPHATE,C10H14N5O7P,347.221222,,,,C00362,
8582p,349.05438,2.111,INOSINE 5'-MONOPHOSPHATE,C10H13N4O8P,348.205982,,,,C00130,
,357.2776,12.3,Chenodeoxycholic Acid (CDCA),C24H40O4,392.572,M+H-2H2O,Bile Acid Standard - verified Metlin/HMDB,,NA,
,357.2777,12.42,Deoxycholic Acid (DCA),C24H40O4,392.572,M+H-2H2O,Bile Acid Standard - verified Metlin/HMDB,,NA,
,357.2777,11.55,Ursodeoxycholic Acid (UDCA),C24H40O4,392.572,M+H-2H2O,Bile Acid Standard - verified Metlin/HMDB,,NA,
6439582p,357.279,12.4,Tetracosahexaenoic acid,C24H36O2,356.54144,,Ring Trial,,,
152430p,359.1124,13,"4'-Hydroxy-5,6,7,8-tetramethoxyflavone",C19H18O7,358.105255,,Gurley citrus samples; HMDB,,,
,359.2932,14.1,Lithocholic Acid (LCA),C24H40O3,376.5726,M+H-H2O,Bile Acid Standard - verified Metlin/HMDB,,NA,
222786p,361.201,9.35,CORTISONE,C21H28O5,360.44402,,,,C00762,
149096p,362.1503,8.59,Levofloxacin,C18H20FN3O4,361.367503,,Ring Trial,,C07660,
172313p,362.98527,1.378,"FRUCTOSE 1,6-BIPHOSPHATE",C6H14O12P2,340.115684,M+Na,,,NA,
638678p,363.1775,5.82,THYROTROPIN RELEASING HORMONE,C16H22N6O4,362.38368,,,,C03958,
657311p,363.2166,9.15,CORTISOL,C21H30O5,362.4599,,,,C00735,
6804p,364.0653,2.12,GUANOSINE 5'-MONOPHOSPHATE,C10H14N5O8P,363.220622,,,,C00144,
73323p,365.0493,2.43,XANTHOSINE 5'-MONOPHOSPHATE,C10H13N4O9P,364.205382,,,,NA,
ISO-20p,365.1054,0.83,HEXOSE-DISACCHARIDE,C12H22O11,,,,,NA,
5533p,372.1584,9.97,Trazodone,C19H22ClN5O,371.86388,,Ring Trial,,C07156,
6426854p,372.3114,13.92,Myristoylcarnitine,C21H41NO4,371.55454,,I.Kurland Mouse samples,,,
5952p,373.2373,12.41,DEOXYCORTICOSTERONE ACETATE,C23H32O4,372.49778,,,,NA,
,373.2722,11.2,Cholic Acid,C24H40O5,408.5714,M+H-2H2O,Bile Acid Standard - verified Metlin/HMDB,,C00695,
,375.2877,12.3,Chenodeoxycholic Acid (CDCA),C24H40O4,392.572,M+H-H2O,Bile Acid Standard - verified Metlin/HMDB,,NA,
,375.2883,12.42,Deoxycholic Acid (DCA),C24H40O4,392.572,M+H-H2O,Bile Acid Standard - verified Metlin/HMDB,,NA,
,375.2883,11.55,Ursodeoxycholic Acid (UDCA),C24H40O4,392.572,M+H-H2O,Bile Acid Standard - verified Metlin/HMDB,,NA,
5283906p,375.28888,12.438,3-Oxo-5-beta-cholanate,C24H38O3,374.282209,,Shaddox Samples - Compound Discoverer,,NA,
493570p,377.1456,7.9,RIBOFLAVIN,C17H20N4O6,376.3639,,,,C00255,
,381.36633,14.14,"O-Myristol-L-carnitine:HCl(N,N,N-trimethyl-D9)",,,,CIL Labeled Carnitine Standards Set B,,NA,
439155p,385.1289,4.62,S-(5'-ADENOSYL)-L-HOMOCYSTEINE,C14H20N6O5S,384.4108,,RT corrected from 4.83min by std 03012018 CC,,C00021,
,391.2827,11.2,Cholic Acid,C24H40O5,408.5714,M+H-H2O,Bile Acid Standard - verified Metlin/HMDB,,C00695,
8343p,391.28293,16.789,Bis(2-ethylhexyl) phthalate,C24H38O4,390.27585,,Shaddox Samples - Compound Discoverer,,NA,
97536p,392.185,8.6,S-HEXYL-GLUTATHIONE,C16H29N3O6S,391.48296,,,,NA,
34755p,399.1445,0.91,S-(5'-ADENOSYL)-L-METHIONINE,C15H22N6O5S,398.44,,,,C00019,
11953816p,400.3427,16.91,Palmitoylcarnitine,C23H45NO4,399.6077,,,,NA,
,403.35592,15.73,O-Palmytoyl-L-carnitine:HCl ( N-methyl-D3),,,,CIL Labeled Carnitine Standards Set B,,NA,
5744p,405.2272,10.46,CORTISOL 21-ACETATE,C23H32O6,404.49658,,,,NA,
,409.2056,6.751545,MGDG (2:0_7:0),,,M+H,Rice Cell Media - LipidMatch,,NA,
,414.2986,10.67,Glycoursodeoxycholic acid (G-UDCA),C26H43NO5,449.6233,M+H-2H2O,Bile Acid Standard - verified Metlin/HMDB,,NA,
,414.2986,11.5,Glycodeoxycholic acid (GDCA),C26H43NO5,449.6233,M+H-2H2O,Bile Acid Standard - verified Metlin/HMDB,,NA,
,414.2992,11.35,Chenodeoxycholyglycine (GCDCA),C26H43NO7,449.6233,M+H-2H2O,Bile Acid Standard - verified Metlin/HMDB,,NA,
179108p,415.1585,8.3,Ptelatoside A,C19H26O10,414.40374,,Kenworthy turf grass samples - HMDB; Metlin,,,
73303p,421.1224,11.44,Doripenem,C15H24N4O6S2,420.50426,,Ring Trial,,,
,426.3197,11.2,Cholic Acid,C24H40O5,408.5714,M+NH4,Bile Acid Standard - verified Metlin/HMDB,,C00695,
,430.2937,10.5,Glycocholic Acid (GCA),C26H43NO6,465.6227,M+H-2H2O,Bile Acid Standard - verified Metlin/HMDB,,NA,
221493p,431.2768,10.37,CHOLATE,C24H40O5,408.5714,M+Na,,,C00695,
,432.3093,10.67,Glycoursodeoxycholic acid (G-UDCA),C26H43NO5,449.6233,M+H-H2O,Bile Acid Standard - verified Metlin/HMDB,,NA,
,432.3093,11.5,Glycodeoxycholic acid (GDCA),C26H43NO5,449.6233,M+H-H2O,Bile Acid Standard - verified Metlin/HMDB,,NA,
,432.3099,11.35,Chenodeoxycholyglycine (GCDCA),C26H43NO6,449.6233,M+H-H2O,Bile Acid Standard - verified Metlin/HMDB,,NA,
9305p,433.8745,7.52,"3,5-DIIODO-L-TYROSINE",C9H9I2NO3,432.9816,,,,C01060,
,440.2498,8.424253,MGDG (7:0_3:0),,,M+NH4,Rice Cell Media - LipidMatch,,NA,
,448.3042,10.5,Glycocholic Acid (GCA),C26H43NO6,465.6227,M+H-H2O,Bile Acid Standard - verified Metlin/HMDB,,NA,
,450.32,10.67,Glycoursodeoxycholic acid (G-UDCA),C26H43NO5,449.6233,M+H,Bile Acid Standard - verified Metlin/HMDB,,NA,
,450.3201,11.35,Chenodeoxycholyglycine (GCDCA),C26H43NO5,449.6233,M+H,Bile Acid Standard - verified Metlin/HMDB,,NA,
,450.32194,11.5,Glycodeoxycholic acid (GDCA),C26H43NO5,449.6233,M+H,Bile Acid Standard - verified Metlin/HMDB,,NA,
,464.2813,10.55,Taurochenodesoxycholic acid (T-CDCA),C26H45NO6S,499.704,M+H-2H2O,Bile Acid Standard - verified Metlin/HMDB,,NA,
,464.2816,10.69,Taurodeoxycholic Acid (T-DCA),C26H45NO6S,499.704,M+H-2H2O,Bile Acid Standard - verified Metlin/HMDB,,NA,
,464.2816,9.96,Tauroursodeoxycholic acid (T-UDCA),C26H45NO6S,499.704,M+H-2H2O,Bile Acid Standard - verified Metlin/HMDB,,NA,
,466.2971,11.55,Taurolithocholic acid (T-LCA),C26H45NO5S,483.30184,M+H-H2O,Bile Acid Standard - verified Metlin/HMDB,,NA,
,466.3148,10.5,Glycocholic Acid (GCA),C26H43NO6,465.6227,M+H,Bile Acid Standard - verified Metlin/HMDB,,NA,
10140p,466.3163,9.72,GLYCOCHOLATE,C26H43NO6,465.62272,,,,C01921,
,472.302,10.67,Glycoursodeoxycholic acid (G-UDCA),C26H43NO5,449.6233,M+Na,Bile Acid Standard - verified Metlin/HMDB,,NA,
,472.302,11.5,Glycodeoxycholic acid (GDCA),C26H43NO5,449.6233,M+Na,Bile Acid Standard - verified Metlin/HMDB,,NA,
,480.2769,9.9,Taurocholic acid (TCA),C26H45NO7S,515.703,M+H-2H2O,Bile Acid Standard - verified Metlin/HMDB,,NA,
9547071p,480.309,13.65,LysoPE (18:1),C23H46NO7P,479.587602,,,,NA,
,482.2918,10.55,Taurochenodesoxycholic acid (T-CDCA),C26H45NO6S,499.704,M+H-H2O,Bile Acid Standard - verified Metlin/HMDB,,NA,
,482.2921,10.69,Taurodeoxycholic Acid (T-DCA),C26H45NO6S,499.704,M+H-H2O,Bile Acid Standard - verified Metlin/HMDB,,NA,
,482.2921,9.96,Tauroursodeoxycholic acid (T-UDCA),C26H45NO6S,499.704,M+H-H2O,Bile Acid Standard - verified Metlin/HMDB,,NA,
,482.3243,14.52113,LysoPE (18:0),,,M+H,K. Dave Brain Tissue - LipidMatch,,NA,
,483.34313,10.5,Glycocholic Acid (GCA),C26H43NO6,465.6227,M+NH4,Bile Acid Standard - verified Metlin/HMDB,,NA,
,484.3076,11.55,Taurolithocholic acid (T-LCA),C26H45NO5S,483.30184,M+H,Bile Acid Standard - verified Metlin/HMDB,,NA,
439763p,484.3091,11.09,TAUROLITHOCHOLATE,C26H45NO5S,483.7042,,,,C02592,
,488.2965,10.5,Glycocholic Acid (GCA),C26H43NO6,465.6227,M+Na,Bile Acid Standard - verified Metlin/HMDB,,NA,
13804p,489.1146,0.98,CYTIDINE 5'-DIPHOSPHOCHOLINE,C14H26N4O11P2,488.323964,,,,C00307,
24779461p,494.3247,12.8,LysoPC (16:1),C24H48NO7P,493.614182,,,,NA,
460602p,496.3403,13.5,LysoPC (16:0),C24H50NO7P,495.630062,,,,NA,
,498.2869,9.9,Taurocholic acid (TCA),C26H45NO7S,515.703,M+H-H2O,Bile Acid Standard - verified Metlin/HMDB,,NA,
,500.3023,9.96,Tauroursodeoxycholic acid (T-UDCA),C26H45NO6S,499.704,M+H,Bile Acid Standard - verified Metlin/HMDB,,NA,
,500.3023,10.55,Taurochenodesoxycholic acid (T-CDCA),C26H45NO6S,499.704,M+H,Bile Acid Standard - verified Metlin/HMDB,,NA,
,500.3024,10.69,Taurodeoxycholic Acid (T-DCA),C26H45NO6S,499.704,M+H,Bile Acid Standard - verified Metlin/HMDB,,NA,
,501.3341,11.55,Taurolithocholic acid (T-LCA),C26H45NO5S,483.30184,M+NH4,Bile Acid Standard - verified Metlin/HMDB,,NA,
,502.2926,12.89718,LysoPE (20:4),,,M+H,Yang/Moffitt Lung Cancer Cells - LipidMatch,,NA,
,504.2618,10.5,Glycocholic Acid (GCA),C26H43NO6,465.6227,M+K,Bile Acid Standard - verified Metlin/HMDB,,NA,
,504.304,14.52288,LysoPE (18:0),,,M+Na,K. Dave Brain Tissue - LipidMatch,,NA,
,506.2897,11.55,Taurolithocholic acid (T-LCA),C26H45NO5S,483.30184,M+Na,Bile Acid Standard - verified Metlin/HMDB,,NA,
,510.279,10.5,Glycocholic Acid (GCA),C26H43NO6,465.6227,M+2Na,Bile Acid Standard - verified Metlin/HMDB,,NA,
,516.2979,9.9,Taurocholic acid (TCA),C26H45NO7S,515.703,M+H,Bile Acid Standard - verified Metlin/HMDB,,NA,
6675p,516.29953,10.08,Taurocholic acid,C26H45NO7S,515.703,,,,C05122,
,517.3291,10.69,Taurodeoxycholic Acid (T-DCA),C26H45NO6S,499.704,M+NH4,Bile Acid Standard - verified Metlin/HMDB,,NA,
,517.3291,9.96,Tauroursodeoxycholic acid (T-UDCA),C26H45NO6S,499.704,M+NH4,Bile Acid Standard - verified Metlin/HMDB,,NA,
,517.3293,10.55,Taurochenodesoxycholic acid (T-CDCA),C26H45NO6S,499.704,M+NH4,Bile Acid Standard - verified Metlin/HMDB,,NA,
,518.3221,13.61097,LysoPC (16:0),,,M+Na,K. Dave Brain Tissue - LipidMatch,,NA,
,520.3417,13.01725,LysoPC (18:2),,,M+H,K. Dave Brain Tissue - LipidMatch,,NA,
,522.2546,11.55,Taurolithocholic acid (T-LCA),C26H45NO5S,483.30184,M+K,Bile Acid Standard - verified Metlin/HMDB,,NA,
,522.2844,10.69,Taurodeoxycholic Acid (T-DCA),C26H45NO6S,499.704,M+Na,Bile Acid Standard - verified Metlin/HMDB,,NA,
,522.2844,9.96,Tauroursodeoxycholic acid (T-UDCA),C26H45NO6S,499.704,M+Na,Bile Acid Standard - verified Metlin/HMDB,,NA,
,522.3579,13.64035,LysoPC (18:1),,,M+H,K. Dave Brain Tissue - LipidMatch,,NA,
,524.3716,14.6,LysoPC (18:0),C26H54NO7P,523.3637896,,,,NA,
,524.3731,14.7904,LysoPC (18:0),,,M+H,K. Dave Brain Tissue - LipidMatch,,NA,
92859p,525.9007,8.94,"3,5-DIIODO-L-THYRONINE",C15H13I2NO4,525.07696,,,,,
,526.2927,12.9221,LysoPE (22:6),,,M+H,K. Dave Brain Tissue - LipidMatch,,NA,
439242p,527.1583,1.01,D-(+)-RAFFINOSE,C18H32O16,504.43708,M+Na,,,C00492,
,530.3238,13.54733,LysoPE (22:4),,,M+H,K. Dave Brain Tissue - LipidMatch,,NA,
,533.3238,9.9,Taurocholic acid (TCA),C26H45NO7S,515.703,M+NH4,Bile Acid Standard - verified Metlin/HMDB,,NA,
,538.2493,10.69,Taurodeoxycholic Acid (T-DCA),C26H45NO6S,499.704,M+K,Bile Acid Standard - verified Metlin/HMDB,,NA,
,538.2493,9.96,Tauroursodeoxycholic acid (T-UDCA),C26H45NO6S,499.704,M+K,Bile Acid Standard - verified Metlin/HMDB,,NA,
,538.2498,10.55,Taurochenodesoxycholic acid (T-CDCA),C26H45NO6S,499.704,M+K,Bile Acid Standard - verified Metlin/HMDB,,NA,
,538.2796,9.9,Taurocholic acid (TCA),C26H45NO7S,515.703,M+Na,Bile Acid Standard - verified Metlin/HMDB,,NA,
6675p,538.28148,10.08,Taurocholic acid,C26H45NO7S,515.703,[M+Na],,,C05122,
123847p,542.0681,3.2,Cyclic-ADP Ribose,C15H21N5O13P2,541.300464,,Rice Samples,,NA,
,544.339,13.64269,LysoPC (20:4),,,M+H,K. Dave Brain Tissue - LipidMatch,,NA,
,548.2947,14.02922,"OxLysoPC (18:4(OO))/OxLysoPC (18:3(Ke, OH))/OxoLysoPC (16:1(OO))/OxPC (18:2)",,,M+H/M+H/M+Na/M+H,K. Dave Brain Tissue - LipidMatch,,NA,
,554.2445,9.9,Taurocholic acid (TCA),C26H45NO7S,515.703,M+K,Bile Acid Standard - verified Metlin/HMDB,,NA,
,554.2801,9.28538,OxLysoPC (18:4(OH))/OxLysoPC (18:3(Ke)),,,M+Na/M+Na,Rice Cell Media - LipidMatch,,NA,
445794p,560.079,1.82,ADENOSINE 5'-DIPHOSPHORIBOSE,C15H23N5O14P2,559.315744,,,,C00301,
,568.3424,13.03635,LysoPC (22:6),,,M+H,K. Dave Brain Tissue - LipidMatch,,NA,
,588.2982,7.004342,OxPC (20:3(KeKe)),,,M+H,Rice Cell Media - LipidMatch,,NA,
16500p,590.0895,1.68,ADENOSINE-5'-DIPHOSPHOGLUCOSE,C16H25N5O15P2,573.342324,M+Na,,,NA,
65359p,613.1598,3.91,Glutathione Disulfide,C20H32N6O12S2,612.63108,,RT old pump?,,C00127,
644280p,651.7973,9.65,"3,3',5'-TRIIODOTHYRONINE",C15H12I3NO4,650.97349,,,,C02465,
,652.4024,8.68763,MGDG (22:6_4:0),,,M+NH4,Rice Cell Media - LipidMatch,,NA,
5893p,664.1164,3.638,NAD,C21H27N7O14P2,663.425104,,,,C00003,
439531p,689.2111,0.96,STACHYOSE,C24H42O21,666.57768,M+Na,,,C01613,
,734.3612,8.680635,"OxPe (20:5(OO)_11:1(CHO))/OxPE (20:5(Ke)_11:0(COOH))/OxPE (17:2(Ke,OH)_14:3(CHO))/OxPE (20:4(Ke,OH)_11:1(CHO))",,,M+Na/M+Na/M+Na/M+Na,Rice Cell Media - LipidMatch,,NA,
,760.5867,16.80295,PC (34:1),,,M+H,Yang/Moffitt Lung Cancer Cells - LipidMatch,,NA,
,785.5906,12.3,Dimer of Chenodeoxycholic Acid (CDCA),C24H40O4,392.572,Dimer,Bile Acid Standard - verified Metlin/HMDB,,NA,
,817.5801,11.2,Dimer of Cholic Acid,C24H40O5,408.5714,Dimer,Bile Acid Standard - verified Metlin/HMDB,,NA,
3730p,821.8882,6.57,Iohexol,C19H26I3N3O9,821.13785,,,,,
,899.6343,11.35,Dimer of Chenodeoxycholyglycine (GCDCA),C26H43NO8,449.6233,Dimer,Bile Acid Standard - verified Metlin/HMDB,,NA,
,899.6355,10.67,Dimer of Glycoursodeoxycholic acid (G-UDCA),C26H43NO5,449.6233,Dimer,Bile Acid Standard - verified Metlin/HMDB,,NA,
,899.6355,11.5,Dimer of Glycodeoxycholic acid (GDCA),C26H43NO5,449.6233,Dimer,Bile Acid Standard - verified Metlin/HMDB,,NA,
,931.6214,10.5,Dimer of Glycocholic Acid (GCA),C26H43NO6,465.6227,Dimer,Bile Acid Standard - verified Metlin/HMDB,,NA,
,967.6097,11.55,Dimer of Taurolithocholic acid (T-LCA),C26H45NO5S,483.30184,Dimer,Bile Acid Standard - verified Metlin/HMDB,,NA,
,999.5997,10.55,Dimer of Taurochenodesoxycholic acid (T-CDCA),C26H45NO6S,499.704,Dimer,Bile Acid Standard - verified Metlin/HMDB,,NA,
C00378,265.1115417,1.2,THIAMINE,C12H16N4OS,,,Vitamin Standard,,C00378,
,219.0474091,0.72,GLUCONIC/GALACTONIC ACID,C6H12O7,,,Vitamin Standard,,NA,
C01181,146.1181,1.2,BUTYROBETAINE,C7H15NO2,,,MS2 confirmed,TG added,C01181,
,132.0654,0.73,trans-4-Hydroxy-L_Proline,C5H9NO3,131.058,,Raizada's Standard,,,
,220.1176,6.61,Pantothenic Acid,C9H17NO5,219.110672,,Raizada's Standard,,,
,148.0603,0.83,O-Acetyl-L-Serine,C5H9NO4,147.053162,,Raizada's Standard,,,
,162.0759,0.89,L-2-Aminoadipic Acid,C6H11NO4,161.068802,,Raizada's Standard,,,
,113.0346,1.37,Uracil,C4H4N2O2,112.027275,,Raizada's Standard,,,
,178.0529,6.9,N-formyl-L-methionine ,C6H11NO3S,177.22144,,Raizada's Standard,,,
,132.0654,0.83,5-AMINOLEVULINIC ACID,C5H9NO3,131.058243,,Raizada's Standard,,,
,157.0469,1.51,"2,3-dihydroxyisovalerate",C5H10O4,133.050629,,Raizada's Standard,,,
,279.1584,13.8,Monooctyl phtlate (MOP),C16H22O4,278.151794,,Phtalate standards,,,
,279.1586,13.5,Phthalic acid mono-2-ethylhexyl ester (MEHP),C16H22O4,278.151794,,Phtalate standards,,,
,195.0649,11.03,Dimethyl pthalate (DMP),C10H10O4,194.057907,,Phtalate standards,,,
,279.1586,14.67,Di-n-butyl pthalate (DBP),C16H22O4,278.151794,,Phtalate standards,,,
,223.0962,12.37,Diethyl phthalate (DEP),C12H14O4,222.089203,,Phtalate standards,,,
,313.143,14.67,Benzyl butyl pthalate (BzBP),C19H20O4,312.136169,,Phtalate standards,,,
,251.1274,13.6,Dipropyl phthalate (DPP),C14H18O4,250.120514,,Phtalate standards,,,
,223.0963,11.38,Monobutyl phthalate (mBP),C12H14O4,222.089203,,Phtalate standards,,,
,195.0651,9.91,Monoethyl phthalate (mEP),C10H10O4,194.058,,Phtalate standards,,,
,257.0805,11.75,Monobenzyl phthalate (mBzP), C15H12O4 ,256.074,,Phtalate standards,,,
,181.0495,9.27,Monomethyl phthalate (MMP),C9H8O4,180.042252,,Phtalate standards,,,
,549.2804,15.76,Antimycin A1,C28H40N2O9,548.273,,Luesch P&F standards,,,
,535.2647,15.33,Antimycin A2,C27H38N2O9,534.6,,Luesch P&F standards,,,
,521.2493,14.9,Antimycin A3,C26H36N2O9,520.242,,Luesch P&F standards,,,
,445.1127,8.59,Enterocin,C22H20O10,444.106,,Luesch P&F standards,,,
,561.3601,7.83,Deferoxamin,C25H48N6O8,560.353,,Luesch P&F standards,,,
,149.045,1.5,2-hydroxyglutarate,C5H8O5,148.03717,,Hartman P&F,,,
,171.0269,1.5,2-hydroxyglutarate+Na,C5H8O5,,,Hartman P&F,,,
,131.0344,1.5,2-hydroxyglutarate-water,C5H8O5,,,Hartman P&F,,,
,168.0178,1.5,2-hydroxyglutart3_adduct,C5H8O5,,2+charge?,Hartman P&F,,,
,343.1234,0.7,Lactose,,,M+H,,,,
,365.1053,0.7,Lactose+Na,,,M+Na,,,,
,381.0792,0.7,Lactose+K,,,M+K,,,,
,707.222,0.7,Dimer of Lactose,,,Dimer,,,,
,291.0848,8.09,Catechin,C15H14O6,290.268,,Hinchliffe standards,,,
,291.0848,8.38,Epicatechin,C15H14O6,290.268,,Hinchliffe standards,,,
,305.0644,9.35,Taxifolin,C15H12O7,304.058289,,Hinchliffe standards,,,
,287.0538,11.32,Kaempferol,C15H10O6,286.047729,,Hinchliffe standards,,,
,459.0909,8.63,Gallocatechin Gallate,C22H18O11,458.0849,,Hinchliffe standards,,,
,307.0801,7.87,Epigallocatechin,C15H14O7,306.27,,Hinchliffe standards,,,
,307.0802,7.4,Gallocatechin,C15H14O7,306.074,,Hinchliffe standards,,,
,443.096,9.11,Epicatechin Gallate,C22H18O10,442.376,,Hinchliffe standards,,,
,183.086,0.74,Mannitol/Sorbitol,C6H14O6,182.172,,Mikucki Standard,,,
,343.1227,0.89,Trehalose/Sucrose,C12H22O11,342.1162,,Mikucki Standard,,,
,306.2058,12.39,Capsaicin,C18H27NO3,305.418,,Duffy archeology samples,,,
,308.2214,12.89,Capsaicin +2H,C18H27NO4,305.418,,Duffy archeology samples,,,
,181.0715,6.96,Theobromine ,C7H8N4O2,180.065,,Duffy,,,
,181.0716,7.4,Theophylline,C7H8N4O2,180.065,,Duffy,,,
,153.0546,9,Vanillin,C8H8O3,152.04734,,Duffy,,,
